order_gid,order_name,order_created_at,order_processed_at,order_financial_status,order_total_amount,order_currency,transaction_gid,transaction_kind,transaction_status,transaction_gateway,transaction_created_at,transaction_processed_at,transaction_amount,transaction_currency,fee_type,fee_amount,fee_currency,fee_tax_amount,fee_tax_currency,fee_rate_name,fee_flat_fee_name,fee_rate
gid://shopify/Order/6991907651774,#1109,2025-08-13T23:25:11Z,2025-08-13T23:25:09Z,REFUNDED,49.0,USD,gid://shopify/OrderTransaction/8389395054782,CAPTURE,SUCCESS,shopify_payments,2025-08-13T23:25:12Z,2025-08-13T23:25:12Z,49.0,USD,processing_fee,2.2,USD,0.0,USD,paypal_domestic_card_not_present,,0.0349
gid://shopify/Order/6997271543998,#1110,2025-08-16T06:29:07Z,2025-08-16T06:29:05Z,REFUNDED,39.2,USD,gid://shopify/OrderTransaction/8396249563326,CAPTURE,SUCCESS,shopify_payments,2025-08-16T06:29:08Z,2025-08-16T06:29:08Z,39.2,USD,processing_fee,1.86,USD,0.0,USD,paypal_domestic_card_not_present,,0.0349
gid://shopify/Order/6997690482878,#1111,2025-08-16T13:01:12Z,2025-08-16T13:01:08Z,REFUNDED,49.0,USD,gid://shopify/OrderTransaction/8396776931518,CAPTURE,SUCCESS,shopify_payments,2025-08-16T13:01:13Z,2025-08-16T13:01:14Z,49.0,USD,processing_fee,1.62,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/7004743925950,#1112,2025-08-19T20:39:13Z,2025-08-19T20:39:09Z,REFUNDED,90.0,USD,gid://shopify/OrderTransaction/8405651292350,CAPTURE,SUCCESS,shopify_payments,2025-08-19T20:39:14Z,2025-08-19T20:39:15Z,90.0,USD,processing_fee,2.73,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/7009481588926,#1113,2025-08-21T16:01:54Z,2025-08-21T16:01:50Z,REFUNDED,49.0,USD,gid://shopify/OrderTransaction/8411506081982,SALE,SUCCESS,shopify_payments,2025-08-21T16:01:50Z,2025-08-21T16:01:50Z,49.0,USD,processing_fee,1.62,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/7014236258494,#1114,2025-08-23T19:31:03Z,2025-08-23T19:31:00Z,REFUNDED,49.0,USD,gid://shopify/OrderTransaction/8417536934078,CAPTURE,SUCCESS,shopify_payments,2025-08-23T19:31:04Z,2025-08-23T19:31:05Z,49.0,USD,processing_fee,1.62,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/7019773591742,#1115,2025-08-26T15:29:49Z,2025-08-26T15:29:49Z,REFUNDED,117.0,USD,gid://shopify/OrderTransaction/8424404123838,CAPTURE,SUCCESS,shopify_payments,2025-08-26T15:29:50Z,2025-08-26T15:29:50Z,117.0,USD,processing_fee,4.57,USD,0.0,USD,paypal_domestic_card_not_present,,0.0349
gid://shopify/Order/7022469021886,#1116,2025-08-27T11:43:47Z,2025-08-27T11:43:44Z,REFUNDED,49.0,USD,gid://shopify/OrderTransaction/8427493359806,CAPTURE,SUCCESS,shopify_payments,2025-08-27T11:43:48Z,2025-08-27T11:43:49Z,49.0,USD,processing_fee,1.92,USD,0.0,USD,amex_card_not_present,,0.033
gid://shopify/Order/7025025712318,#1117,2025-08-28T14:33:27Z,2025-08-28T14:33:22Z,REFUNDED,49.0,USD,gid://shopify/OrderTransaction/8430696366270,CAPTURE,SUCCESS,shopify_payments,2025-08-28T14:33:27Z,2025-08-28T14:33:29Z,49.0,USD,processing_fee,1.62,USD,0.0,USD,domestic_card_not_present,,0.027
gid://shopify/Order/7035598504126,#1119,2025-09-02T14:38:51Z,2025-09-02T14:38:48Z,REFUNDED,117.0,USD,gid://shopify/OrderTransaction/8444092711102,CAPTURE,SUCCESS,shopify_payments,2025-09-02T14:38:52Z,2025-09-02T14:38:53Z,117.0,USD,processing_fee,3.46,USD,0.0,USD,domestic_card_not_present,,0.027
